epoch;loss;mean_squared_error;val_loss;val_mean_squared_error
0;0.11267007887363434;0.11267007887363434;0.04293331131339073;0.04293331131339073
1;0.04663267359137535;0.04663267359137535;0.04392522946000099;0.04392522946000099
2;0.04399595409631729;0.04399595409631729;0.0451933778822422;0.0451933778822422
3;0.03865208849310875;0.03865208849310875;0.04086185619235039;0.04086185619235039
4;0.03390108421444893;0.03390108421444893;0.038341209292411804;0.038341209292411804
5;0.030783552676439285;0.030783552676439285;0.03529518470168114;0.03529518470168114
6;0.03044481761753559;0.03044481761753559;0.032901279628276825;0.032901279628276825
7;0.02488803118467331;0.02488803118467331;0.02930152416229248;0.02930152416229248
8;0.022439053282141685;0.022439053282141685;0.03441622853279114;0.03441622853279114
9;0.02312532812356949;0.02312532812356949;0.024711789563298225;0.024711789563298225
10;0.01975310780107975;0.01975310780107975;0.02333367057144642;0.02333367057144642
11;0.018594540655612946;0.018594540655612946;0.023788515478372574;0.023788515478372574
12;0.018779834732413292;0.018779834732413292;0.022851286455988884;0.022851286455988884
13;0.0172573234885931;0.0172573234885931;0.02092055417597294;0.02092055417597294
14;0.017742212861776352;0.017742212861776352;0.02368084527552128;0.02368084527552128
15;0.019507821649312973;0.019507821649312973;0.020550163462758064;0.020550163462758064
16;0.016668640077114105;0.016668640077114105;0.019536221399903297;0.019536221399903297
17;0.017268355935811996;0.017268355935811996;0.01972673274576664;0.01972673274576664
18;0.015986815094947815;0.015986815094947815;0.018976561725139618;0.018976561725139618
19;0.015977216884493828;0.015977216884493828;0.0195687934756279;0.0195687934756279
20;0.015851551666855812;0.015851551666855812;0.019025204703211784;0.019025204703211784
21;0.015667030587792397;0.015667030587792397;0.022610649466514587;0.022610649466514587
22;0.015984509140253067;0.015984509140253067;0.018812211230397224;0.018812211230397224
23;0.01620815508067608;0.01620815508067608;0.02073734812438488;0.02073734812438488
24;0.01484136376529932;0.01484136376529932;0.018482904881238937;0.018482904881238937
25;0.014317670837044716;0.014317670837044716;0.02071770466864109;0.02071770466864109
26;0.01405680924654007;0.01405680924654007;0.019993679597973824;0.019993679597973824
27;0.014940613880753517;0.014940613880753517;0.01895780675113201;0.01895780675113201
28;0.01402509305626154;0.01402509305626154;0.019321851432323456;0.019321851432323456
29;0.013789059594273567;0.013789059594273567;0.019102327525615692;0.019102327525615692
30;0.014213397167623043;0.014213397167623043;0.019083352759480476;0.019083352759480476
31;0.013379117473959923;0.013379117473959923;0.01898573711514473;0.01898573711514473
32;0.012823151424527168;0.012823151424527168;0.01953199692070484;0.01953199692070484
33;0.013380663469433784;0.013380663469433784;0.018199261277914047;0.018199261277914047
34;0.012786997482180595;0.012786997482180595;0.020689915865659714;0.020689915865659714
35;0.013549202121794224;0.013549202121794224;0.018507884815335274;0.018507884815335274
36;0.01288706623017788;0.01288706623017788;0.019539538770914078;0.019539538770914078
37;0.012767565436661243;0.012767565436661243;0.018698060885071754;0.018698060885071754
38;0.012255571782588959;0.012255571782588959;0.017751110717654228;0.017751110717654228
39;0.012511210516095161;0.012511210516095161;0.018748898059129715;0.018748898059129715
40;0.0124130267649889;0.0124130267649889;0.01934049464762211;0.01934049464762211
41;0.013715852983295918;0.013715852983295918;0.018887341022491455;0.018887341022491455
42;0.012237126007676125;0.012237126007676125;0.018182948231697083;0.018182948231697083
43;0.012995616532862186;0.012995616532862186;0.019317585974931717;0.019317585974931717
44;0.012133438140153885;0.012133438140153885;0.01819472946226597;0.01819472946226597
45;0.011414571665227413;0.011414571665227413;0.01842467673122883;0.01842467673122883
